material or substance name,Validation,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_HeavyAtomMolWt,RDKit2D_HallKierAlpha,RDKit2D_LabuteASA,RDKit2D_TPSA,RDKit2D_VSA_EState1,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,RDKit2D_MolMR,Mordred2D_SpMAD_A,Mordred2D_ATS1dv,Mordred2D_ATS3dv,Mordred2D_ATS4dv,Mordred2D_ATS5dv,Mordred2D_ATS0Z,Mordred2D_ATS1Z,Mordred2D_ATS0m,Mordred2D_ATS1m,Mordred2D_ATS2m,Mordred2D_ATS3m,Mordred2D_ATS0p,Mordred2D_ATS2p,Mordred2D_AATS0dv,Mordred2D_AATS0m,Mordred2D_AATS0se,Mordred2D_AATS0are,Mordred2D_AATS0i,Mordred2D_ATSC0dv,Mordred2D_ATSC1dv,Mordred2D_ATSC0m,Mordred2D_ATSC1v,Mordred2D_ATSC0se,Mordred2D_ATSC0pe,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC1i,Mordred2D_AATSC0dv,Mordred2D_AATSC0m,Mordred2D_AATSC0are,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTm-1h,Mordred2D_BCUTare-1h,Mordred2D_BCUTp-1l,Mordred2D_SpAbs_Dzp,Mordred2D_VR2_Dzp,Mordred2D_Xp-5d,Mordred2D_Xp-6d,Mordred2D_Xp-7d,Mordred2D_SZ,Mordred2D_Mare,Mordred2D_Mi,Mordred2D_SpMAD_Dt,Mordred2D_SsCH3,Mordred2D_ETA_alpha,Mordred2D_ETA_beta,Mordred2D_ETA_epsilon_1,Mordred2D_ETA_epsilon_5,Mordred2D_ETA_dEpsilon_D,Mordred2D_fragCpx,Mordred2D_IC0,Mordred2D_TIC0,Mordred2D_MIC5,Mordred2D_ZMIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID,Mordred2D_MID_h,Mordred2D_MPC6,Mordred2D_piPC1,Mordred2D_piPC5,Mordred2D_piPC6,Mordred2D_TpiPC10,Mordred2D_TopoPSA
METHANE,1,0.0,0.35978493788397,12.011,0.0,8.739251027829551,0.0,0.0,0.0,0.0,0,0,0.0,0.6361,6.731,0.0,0.0,0.0,0.0,0.0,40.0,24.0,148.328377,48.428352,6.0963840000000005,0.0,4.567351619396,2.667677429094,0.0,29.6656754,6.8828744,5.122,173.2929928373992,0.0,0.0,96.85280719999996,-144.08154460110245,0.0189727999999999,0.0979999999999998,-0.0784000000000001,-0.0575999999999999,-0.6441115423033604,-3.498824120607355,0.0,19.37056144,0.0143999999999999,0.874706030151839,0.0,12.011,2.5,1.67,0.0,0.0,0.0,0.0,0.0,1.666666666666667,0.904,1.1661158583696705,0.0,0.0,0.5,0.0,0.38,0.7,0.0,0.0,0.7219280948873623,3.6096404744368114,5.837338485255589,3.816483617504394,3.816483617504394,0.4829130402062782,24.950000000000006,1.0,0.0,0,0.0,0.0,0.0,0.6931471805599453,0.0
ETHANE,0,2.0,0.372785555157605,24.022,0.0,15.104193142226158,0.0,0.0,0.0,4.0,0,0,0.0,1.0262,11.348000000000004,1.0,1.0,0.0,0.0,0.0,78.0,72.0,294.624626,216.9066489999999,78.73891199999998,9.144576,8.245477429093999,9.348943289094,0.25,36.82807825,6.923977000000001,5.192500000000001,170.38682804068674,1.5,-0.5625,181.5990135,-126.63417005956268,0.0355739999999999,0.1837499999999996,-0.0689062499999998,-0.0506250000000002,-0.5661136602275626,-3.0751383872525686,0.1875,22.6998766875,0.0168749999999999,1.0250461290841866,0.89,12.121,2.61,1.5599999999999998,2.0,0.7071067811865476,0.0,0.0,0.0,3.0,0.91,1.155733617221566,1.0,4.0,1.0,0.5,0.3999999999999999,0.7,0.0,1.0,0.8112781244591328,6.490224995673063,6.319268349454806,7.867668746754797,7.867668746754797,-0.3481257229235901,39.04000000000001,1.5,0.0,0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.0
PROPANE,0,1.25,0.3854706587740357,36.033,0.0,21.469135256622767,0.0,0.0,0.0,4.25,0,0,2.0,1.4163,15.965000000000003,0.9428090415820632,4.0,0.0,0.0,0.0,116.0,120.0,440.920875,385.38494599999984,272.44744899999995,84.83529600000001,11.923603238792,17.036633433942995,0.5454545454545454,40.08371590909091,6.94266,5.224545454545456,169.06584404218108,4.545454545454543,-0.4958677685950414,264.1440196363636,-119.07565669512609,0.0517439999999999,0.2672727272727267,-0.0647933884297506,-0.0476033057851235,-0.5323235886804635,-2.891590182320132,0.4132231404958675,24.01309269421488,0.0178512396694214,1.0843463183700484,0.9773363066878588,12.167064295389393,2.6560642953893963,1.5149357046106016,5.464101615137755,1.2408064788027997,0.0,0.0,0.0,4.333333333333334,0.9127272727272728,1.1510144166997005,1.8213672050459184,4.25,1.5,1.0,0.4090909090909089,0.6999999999999998,0.0,2.0,0.8453509366224364,9.2988603028468,10.079882080244303,11.874995996387147,9.926052013809633,-0.8244293766420586,53.13000000000005,1.6380711874576983,0.0,0,1.0986122886681098,0.0,0.0,1.9459101490553128,0.0
ISOBUTANE,0,0.8333333333333333,0.3971180036971562,48.044,0.0,27.83407737101937,0.0,0.0,0.0,6.5,0,0,1.3333333333333333,1.6623,20.512,0.8660254037844386,9.0,0.0,0.0,0.0,154.0,168.0,587.2171240000001,553.8632429999999,587.221995,227.0721599999999,15.601729048490002,25.730747863641,0.8571428571428571,41.94408028571429,6.953335999999999,5.242857142857145,168.310996043035,9.428571428571434,1.102040816326531,345.9028828571429,-114.86092522409297,0.0677599999999999,0.3499999999999994,-0.0624999999999991,-0.045918367346938,-0.5134817779841855,-2.789241167575998,0.6734693877551025,24.70734877551021,0.0183673469387754,1.1156964670304068,0.9839941003120974,12.20252821313391,2.691528213133911,1.4804717868660917,9.29150262212918,1.7252449753434056,0.0,0.0,0.0,5.666666666666669,0.9142857142857146,1.1483177306872057,2.322875655532295,6.5,2.0,1.5,0.4142857142857141,0.7,0.0,3.0,0.863120568566631,12.083687959932837,9.673584577721863,15.860625373896726,13.671143071538427,-0.908933202819753,67.22000000000008,1.6830127018922194,0.0,0,1.3862943611198906,0.0,0.0,2.3978952727983707,0.0
n-BUTANE,0,1.3194444444444444,0.4310243576713091,48.044,0.0,27.834077371019376,0.0,0.0,0.0,4.361111111111111,0,0,3.0,1.8064,20.582,1.118033988749895,8.0,1.0,0.0,0.0,154.0,168.0,587.2171240000001,553.8632429999999,466.155986,281.592025,15.601729048490002,24.724323578791992,0.7142857142857143,41.94408028571429,6.953335999999999,5.242857142857145,168.310996043035,7.428571428571428,0.1020408163265306,345.9028828571429,-114.86092522409294,0.0677599999999999,0.3499999999999994,-0.0624999999999991,-0.045918367346938,-0.5134817779841854,-2.7892411675759976,0.5306122448979591,24.70734877551021,0.0183673469387754,1.1156964670304068,0.9860010787499066,12.183037031393726,2.672037031393729,1.4997868010618711,10.324555320336763,1.631354320169683,0.0,0.0,0.0,5.666666666666669,0.9142857142857146,1.1483177306872057,2.581138830084191,4.361111111111111,2.0,1.5,0.4142857142857141,0.7,0.0,3.0,0.863120568566631,12.083687959932837,10.682631734665328,15.860625373896726,13.09255135541351,-1.282733202819753,67.22000000000008,1.7178300858899105,0.0,0,1.3862943611198906,0.0,0.0,2.3978952727983707,0.0
"1,1,3-TRIMETHYLCYCLOHEXANE",0,0.650462962962963,0.4672251759438993,108.09899999999998,0.0,58.65295678947317,0.0,0.0,0.0,7.158958333333333,0,0,1.8327123968149608,3.2227000000000023,41.413,1.1118256375809838,47.0,34.0,8.0,0.0,342.0,432.0,1316.6662409999997,1516.3046730000008,2227.6408689999985,1967.400801000001,33.103132287282,73.21490844303699,1.6296296296296295,48.76541633333332,6.992481333333336,5.3100000000000005,165.543220046166,32.0,11.000000000000004,726.3960540000002,-6.171907703519368e-13,0.1422959999999998,0.7349999999999985,-9.151090379294008e-16,-7.638334409421077e-16,1.3286518531090666e-15,-1.2652428056861709e-13,1.1851851851851851,26.90355755555556,0.0199999999999999,1.2148694863219984,0.992051869310368,12.250777039779512,2.7397770397795105,1.4366167020979823,37.26579663222337,3.263889637357151,1.045385137588014,0.6371368471241508,0.0,11.999999999999998,0.92,1.1384298819747254,7.862334788461459,7.158958333333333,4.5,4.5,0.4333333333333336,0.7000000000000001,0.0,9.0,0.9182958340544896,24.79398751947122,20.287351227002976,35.548875021634686,25.267838909081263,-2.424849171578492,126.80999999999996,1.9234120461484965,0.0,8,2.302585092994046,2.5649493574615367,2.19722457733622,4.356708826689592,0.0
n-PENTANE,0,1.34375,0.4687855098011331,60.05499999999999,0.0,34.19901948541599,0.0,0.0,0.0,4.423611111111111,0,0,4.0,2.1965000000000003,25.19899999999999,1.092820323027551,12.0,4.0,1.0,0.0,192.0,216.0,733.513373,722.3415399999998,659.864523,478.348754,19.279854858188,32.412013723641,0.8235294117647058,43.14784547058824,6.960244,5.254705882352942,167.822564984764,10.235294117647058,0.4844290657439439,427.2917964705882,-112.17421292473372,0.0837035294117646,0.4323529411764697,-0.0610380622837375,-0.0448442906574399,-0.501470923938603,-2.7239980177739063,0.602076124567474,25.134811557093425,0.0186851211072664,1.1349991740724557,0.9872569003884862,12.19216014105282,2.681160141052826,1.491594749421179,16.576431503800364,1.947910054932876,0.0,0.0,0.0,7.000000000000001,0.9152941176470588,1.146572816208533,3.3152863007600737,4.423611111111111,2.5,2.0,0.4176470588235292,0.7,0.0,4.0,0.8739810481273578,14.857677818165085,13.009216367923042,19.83472123474405,16.564363271458024,-1.7293109512410845,81.3100000000001,1.769974746830583,0.0,0,1.6094379124341005,0.0,0.0,2.772588722239781,0.0
ISOPENTANE,0,0.8842592592592591,0.4444408351269941,60.05499999999999,0.0,34.19901948541598,0.0,0.0,0.0,6.643518518518518,0,0,2.25,2.0524,25.12899999999999,1.0452503719011013,14.0,2.0,0.0,0.0,192.0,216.0,733.513373,722.3415399999998,780.9305319999999,544.894898,19.279854858188,33.41843800849,0.9411764705882352,43.14784547058824,6.960244,5.254705882352942,167.822564984764,12.235294117647058,2.484429065743944,427.2917964705882,-112.17421292473372,0.0837035294117646,0.4323529411764697,-0.0610380622837375,-0.0448442906574399,-0.5014709239386028,-2.7239980177739067,0.7197231833910034,25.134811557093425,0.0186851211072664,1.1349991740724557,0.986400585850396,12.209556522009436,2.698556522009432,1.4741003957039804,14.918588541826855,2.031639034586054,0.0,0.0,0.0,7.000000000000001,0.9152941176470588,1.146572816208533,2.9837177083653708,6.643518518518518,2.5,2.0,0.4176470588235292,0.7,0.0,4.0,0.8739810481273578,14.857677818165085,14.61469127367711,19.83472123474405,15.090860089398962,-1.3555109512410843,81.3100000000001,1.7393603864164349,0.0,0,1.6094379124341005,0.0,0.0,2.772588722239781,0.0
NEOPENTANE,1,0.5,0.4105781835342534,60.05499999999999,0.0,34.19901948541599,0.0,0.0,0.0,8.75,0,0,1.0,2.0524,25.12899999999999,0.8,16.0,0.0,0.0,0.0,192.0,216.0,733.513373,722.3415399999999,1023.06255,435.855168,19.279854858188,35.43128657818799,1.1764705882352942,43.14784547058824,6.960244,5.254705882352942,167.822564984764,16.235294117647058,4.484429065743943,427.2917964705882,-112.17421292473372,0.0837035294117646,0.4323529411764697,-0.0610380622837375,-0.0448442906574399,-0.5014709239386028,-2.723998017773907,0.9550173010380624,25.134811557093425,0.0186851211072664,1.1349991740724557,0.9869366140699168,12.23250511357694,2.7215051135769337,1.4514948864230657,13.21110255092798,2.1482796914261177,0.0,0.0,0.0,7.000000000000001,0.9152941176470588,1.146572816208533,2.6422205101855964,8.75,2.5,2.0,0.4176470588235292,0.7,0.0,4.0,0.8739810481273578,14.857677818165085,9.144872061784124,19.83472123474405,17.487132873161,-1.3380509512410843,81.3100000000001,1.7,0.0,0,1.6094379124341005,0.0,0.0,2.772588722239781,0.0
METHYLCYCLOPROPANE,0,1.0833333333333333,0.3934207493755273,48.044,0.0,26.828246217490143,0.0,0.0,0.0,2.2777777777777777,0,0,0.27,1.4163,18.398,1.2405971520460075,19.0,0.0,0.0,0.0,152.0,192.0,585.1849960000001,673.9131879999999,463.107794,132.24758400000002,14.712503238792,23.390484864245,1.5,48.76541633333334,6.992481333333333,5.310000000000001,165.543220046166,12.666666666666668,3.0000000000000027,322.8426906666667,-1.6818682791868392e-15,0.0632426666666665,0.326666666666666,8.403154715273967e-16,7.155387393709134e-16,-1.2203538571008544e-15,1.1750677137513321e-14,1.0555555555555556,26.90355755555556,0.0199999999999999,1.2148694863219989,0.9939316247903812,12.232266884266398,2.721266884266394,1.5147828982917944,8.199295459351728,2.1523787393869225,0.0,0.0,0.0,5.333333333333335,0.9200000000000004,1.1384298819747254,3.298860685763468,2.2777777777777777,2.0,2.0,0.4333333333333332,0.7,0.0,4.0,0.9182958340544896,11.019550008653876,16.026679115690154,15.799500009615414,11.874687506009636,-0.6784827810523284,56.36000000000007,1.7939671471086072,0.0,0,1.6094379124341005,0.0,0.0,2.772588722239781,0.0
